claim_id,article_id,published_at,date,published_date,source,journalist,club,player,season,direction,transfer_type,is_loan,age,position,market_value_eur,transfer_fee_eur,wage_eur_annual,fee_to_market,market_minus_fee_eur,transfer_quality,transfer_indicator,rumor_strength,rumor_indicator,credibility_score,source_reputation_score,journalist_reputation_score,historical_conversion_score,club_specific_score,rumor_stage_score,article_type_score,time_to_confirmation_score,historical_support_n,match_score,ambiguity_flag,entity_match_indicator,rumor_stage,article_type,source_diversity,rumor_count,max_credibility,avg_credibility,max_rumor_strength,avg_rumor_strength,label
b85ff4f389a1cfd0,147bc26e95883ef6,2023-07-07T20:10:24Z,2023-07-07,2023-07-07,The Guardian / Jacob Steinberg,Jacob Steinberg,Manchester United,Rasmus Højlund,2023-24,in,permanent,0,20.0,Centre-Forward,45000000.0,77800000.0,,1.7289,-32800000.0,0.511,0.3888,0.6244,0.6244,0.6359,0.84,0.588,0.48,0.3935,0.72,0.65,0.65,20,1.0,0,0.8333,advanced,report,1,1,0.6359,0.6359,0.6244,0.6244,
d2663d045eef939b,6ebb2d42a655425f,2025-08-06T11:16:51Z,2025-08-06,2025-08-06,The Guardian / Will Unwin,Will Unwin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.6633,0.6633,0.7083,0.84,0.742,0.7,0.6988,0.4,0.65,0.95,22,1.06,0,0.8833,unclear,report,1,1,0.7083,0.7083,0.6633,0.6633,
6a08f457d43e2ad5,bf9ddc18ba8d0cb0,2025-08-09T09:33:11Z,2025-08-09,2025-08-09,The Guardian / Andy Martin,Andy Martin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.7295,0.7295,0.7904,0.84,0.8587,0.8667,0.9533,0.4,0.65,0.95,2,1.06,0,0.8833,unclear,report,1,1,0.7904,0.7904,0.7295,0.7295,
183bc5d27d2f4360,297f744501e9d7ba,2025-08-07T14:38:46Z,2025-08-07,2025-08-07,The Guardian / Will Unwin,Will Unwin,Manchester United,Benjamin Sesko,2025-26,in,permanent,0,22.0,Centre-Forward,70000000.0,76500000.0,,1.0929,-6500000.0,0.7041,0.5358,0.7933,0.7933,0.7833,0.84,0.742,0.7,0.6988,0.9,0.65,0.95,22,1.06,0,0.8833,medical,report,1,1,0.7833,0.7833,0.7933,0.7933,
ea70a7fc70bde1a4,9ba1d7e82ada0653,2025-07-21T19:07:30Z,2025-07-21,2025-07-21,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.6633,0.6633,0.7083,0.84,0.742,0.7,0.6988,0.4,0.65,0.95,22,1.06,0,0.8833,unclear,report,1,1,0.7083,0.7083,0.6633,0.6633,
a18dbe230e1c1ca9,d1b29c446e884abd,2025-07-17T17:22:50Z,2025-07-17,2025-07-17,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.7033,0.7033,0.7333,0.84,0.742,0.7,0.6988,0.6,0.65,0.85,22,1.06,0,0.8833,bid,report,1,1,0.7333,0.7333,0.7033,0.7033,
94393adb6326ac0d,b8ce35470529c823,2025-07-18T12:09:58Z,2025-07-18,2025-07-18,The Guardian / Will Unwin,Will Unwin,Manchester United,Bryan Mbeumo,2025-26,in,permanent,0,25.0,Right Winger,55000000.0,75000000.0,,1.3636,-20000000.0,0.6682,0.5174,0.7725,0.7725,0.7713,0.84,0.742,0.7,0.6988,0.82,0.65,0.95,22,1.06,0,0.8833,agreed,report,1,1,0.7713,0.7713,0.7725,0.7725,
a2b9b663ef7cce63,55b941ec487c2697,2022-08-19T19:39:53Z,2022-08-19,2022-08-19,"The Guardian / Jamie Jackson, Fabrizio Romano, Will Unwin and agencies","Jamie Jackson, Fabrizio Romano, Will Unwin and agencies",Manchester United,Casemiro,2022-23,in,permanent,0,30.0,Defensive Midfield,40000000.0,70650000.0,,1.7663,-30650000.0,0.4526,0.3263,0.8806,0.8806,0.9123,0.95,0.9558,0.9583,0.8899,0.82,0.65,0.95,2,0.78,0,0.65,agreed,report,1,1,0.9123,0.9123,0.8806,0.8806,
026bf587027f632b,ec7ea461b4480238,2022-08-17T12:29:27Z,2022-08-17,2022-08-17,"The Guardian / Jacob Steinberg, Jamie Jackson and Fabrizio Romano","Jacob Steinberg, Jamie Jackson and Fabrizio Romano",Manchester United,Casemiro,2022-23,in,permanent,0,30.0,Defensive Midfield,40000000.0,70650000.0,,1.7663,-30650000.0,0.4526,0.3263,0.761,0.761,0.8483,0.95,0.9558,0.9583,0.9299,0.4,0.65,0.85,2,0.88,0,0.7333,unclear,report,1,1,0.8483,0.8483,0.761,0.761,
10ba4ca1fca57218,96abf97620267c1d,2023-07-05T09:50:45Z,2023-07-05,2023-07-05,The Guardian / Jamie Jackson and Fabrizio Romano,Jamie Jackson and Fabrizio Romano,Manchester United,Mason Mount,2023-24,in,permanent,0,24.0,Attacking Midfield,60000000.0,67700000.0,,1.1283,-7700000.0,0.7461,0.5796,0.7758,0.7758,0.8603,0.95,0.9558,0.9583,1.0,0.4,0.65,0.95,2,1.06,0,0.8833,unclear,report,1,1,0.8603,0.8603,0.7758,0.7758,
